wl,n,k
1059.694336,4.746805,0.281906
1063.132568,4.742446,0.276495
1066.570068,4.738119,0.271189
1070.00708,4.733823,0.265987
1073.443604,4.729558,0.26089
1076.879395,4.725324,0.255899
1080.314697,4.72112,0.251015
1083.749268,4.716947,0.246238
1087.183472,4.712802,0.241569
1090.617065,4.708687,0.237009
1094.050171,4.7046,0.232558
1097.482666,4.700543,0.228216
1100.914795,4.696512,0.22398
1104.346191,4.692508,0.219846
1107.7771,4.688528,0.215811
1111.207642,4.684572,0.21187
1114.637695,4.680638,0.208022
1118.067139,4.676726,0.204262
1121.496216,4.672835,0.200588
1124.924683,4.668963,0.196995
1128.352783,4.66511,0.193482
1131.780518,4.661274,0.190045
1135.207764,4.657455,0.186682
1138.634521,4.653652,0.183389
1142.060791,4.649864,0.180164
1145.486694,4.64609,0.177004
1148.912231,4.64233,0.173907
1152.33728,4.638583,0.170869
1155.761963,4.634848,0.16789
1159.186279,4.631124,0.164965
1162.610352,4.627411,0.162094
1166.033936,4.623708,0.159273
1169.457031,4.620015,0.156501
1172.879883,4.616331,0.153775
1176.30249,4.612656,0.151093
1179.724487,4.608988,0.148453
1183.146362,4.605328,0.145854
1186.567871,4.601674,0.143293
1189.989014,4.598027,0.140768
1193.409912,4.594386,0.138278
1196.830444,4.59075,0.135821
1200,4.592884,0.137164237
1220.6349,4.582656,0.128043696
1241.2698,4.573257,0.119529612
1261.9048,4.564607,0.11158166
1282.5397,4.556637,0.104162195
1303.1746,4.549283,0.097236078
1323.8095,4.542488,0.090770503
1344.4444,4.536203,0.084734847
1365.0794,4.530383,0.079100523
1385.7143,4.524986,0.073840846
1406.3492,4.519977,0.068930904
1426.9841,4.515322,0.064347441
1447.619,4.510991,0.060068749
1468.254,4.506959,0.056074563
1488.8889,4.5032,0.052345964
1509.5238,4.499693,0.048865294
1530.1587,4.496418,0.045616065
1550.7937,4.493356,0.04258289
1571.4286,4.490491,0.039751401
1592.0635,4.487809,0.037108188
1612.6984,4.485294,0.034640731
1633.3333,4.482936,0.032337345
1653.9683,4.480722,0.030187119
1674.6032,4.478642,0.028179869
1695.2381,4.476686,0.026306089
1715.873,4.474846,0.024556903
1736.5079,4.473113,0.022924026
1757.1429,4.47148,0.021399726
1777.7778,4.46994,0.019976781
1798.4127,4.468487,0.018648454
1819.0476,4.467115,0.017408451
1839.6825,4.465818,0.016250901
1860.3175,4.464593,0.01517032
1880.9524,4.463433,0.014161591
1901.5873,4.462336,0.013219936
1922.2222,4.461296,0.012340895
1942.8571,4.460311,0.011520305
1963.4921,4.459376,0.010754279
1984.127,4.45849,0.010039188
2004.7619,4.457648,0.009371647
2025.3968,4.456849,0.008748492
2046.0317,4.456089,0.008166774
2066.6667,4.455367,0.007623736
2087.3016,4.45468,0.007116806
2107.9365,4.454026,0.006643584
2128.5714,4.453403,0.006201829
2149.2063,4.45281,0.005789447
2169.8413,4.452244,0.005404486
2190.4762,4.451705,0.005045122
2211.1111,4.451191,0.004709654
2231.746,4.4507,0.004396492
2252.381,4.450231,0.004104154
2273.0159,4.449783,0.003831254
2293.6508,4.449355,0.0035765
2314.2857,4.448946,0.003338686
2334.9206,4.448555,0.003116684
2355.5556,4.448181,0.002909445
2376.1905,4.447823,0.002715986
2396.8254,4.447479,0.00253539
2417.4603,4.447151,0.002366803
2438.0952,4.446836,0.002209426
2458.7302,4.446534,0.002062513
2479.3651,4.446245,0.001925369
2500,4.445967,0.001797344
5000,4.445967,0.001797344
