wl,n,k
1307.5,2.062089,0
1310,2.062017,0
1312.5,2.061947,0
1315,2.061876,0
1317.5,2.061806,0
1320,2.061736,0
1322.5,2.061667,0
1325,2.061598,0
1327.5,2.06153,0
1330,2.061462,0
1332.5,2.061394,0
1335,2.061327,0
1337.5,2.06126,0
1340,2.061194,0
1342.5,2.061128,0
1345,2.061062,0
1347.5,2.060997,0
1350,2.060932,0
1352.5,2.060867,0
1355,2.060803,0
1357.5,2.060739,0
1360,2.060676,0
1362.5,2.060612,0
1365,2.06055,0
1367.5,2.060487,0
1370,2.060425,0
1372.5,2.060364,0
1375,2.060302,0
1377.5,2.060241,0
1380,2.060181,0
1382.5,2.06012,0
1385,2.060061,0
1387.5,2.060001,0
1390,2.059942,0
1392.5,2.059883,0
1395,2.059824,0
1397.5,2.059766,0
1400,2.059708,0
1402.5,2.05965,0
1405,2.059592,0
1407.5,2.059536,0
1410,2.059479,0
1412.5,2.059422,0
1415,2.059366,0
1417.5,2.05931,0
1420,2.059255,0
1422.5,2.0592,0
1425,2.059145,0
1427.5,2.05909,0
1430,2.059036,0
1432.5,2.058982,0
1435,2.058928,0
1437.5,2.058875,0
1440,2.058822,0
1442.5,2.058769,0
1445,2.058716,0
1447.5,2.058664,0
1450,2.058612,0
1452.5,2.05856,0
1455,2.058509,0
1457.5,2.058458,0
1460,2.058407,0
1462.5,2.058356,0
1465,2.058306,0
1467.5,2.058256,0
1470,2.058206,0
1472.5,2.058156,0
1475,2.058107,0
1477.5,2.058058,0
1480,2.058009,0
1482.5,2.057961,0
1485,2.057912,0
1487.5,2.057864,0
1490,2.057816,0
1492.5,2.057769,0
1495,2.057721,0
1497.5,2.057674,0
1500,2.057628,0
1502.5,2.057581,0
1505,2.057535,0
1507.5,2.057489,0
1510,2.057443,0
1512.5,2.057397,0
1515,2.057352,0
1517.5,2.057307,0
1520,2.057261,0
1522.5,2.057217,0
1525,2.057172,0
1527.5,2.057128,0
1530,2.057084,0
1532.5,2.05704,0
1535,2.056997,0
1537.5,2.056953,0
1540,2.05691,0
1542.5,2.056867,0
1545,2.056824,0
1547.5,2.056782,0
1550,2.05674,0
1552.5,2.056697,0
1555,2.056656,0
1557.5,2.056614,0
1560,2.056572,0
1562.5,2.056531,0
1565,2.05649,0
1567.5,2.056449,0
1570,2.056408,0
1572.5,2.056368,0
1575,2.056328,0
1577.5,2.056288,0
1580,2.056248,0
1582.5,2.056208,0
1585,2.056169,0
1587.5,2.056129,0
1590,2.05609,0
1592.5,2.056051,0
1595,2.056013,0
1597.5,2.055974,0
1600,2.055936,0
1602.5,2.055897,0
1605,2.05586,0
1607.5,2.055822,0
1610,2.055784,0
1612.5,2.055747,0
1615,2.055709,0
1617.5,2.055672,0
1620,2.055635,0
1622.5,2.055598,0
1625,2.055562,0
1627.5,2.055526,0
1630,2.055489,0
1632.5,2.055453,0
1635,2.055417,0
1637.5,2.055382,0
1640,2.055346,0
1642.5,2.055311,0
1645,2.055275,0
1647.5,2.05524,0
