wl,n,k
10630,1.21E+01,6.96E+01
10800,1.25E+01,7.07E+01
10990,1.28E+01,7.17E+01
11170,1.32E+01,7.28E+01
11370,1.36E+01,7.39E+01
11570,1.40E+01,7.51E+01
11780,1.45E+01,7.63E+01
12000,1.49E+01,7.75E+01
12230,1.54E+01,7.87E+01
12460,1.59E+01,8.00E+01
12710,1.64E+01,8.14E+01
12960,1.69E+01,8.28E+01
13230,1.75E+01,8.42E+01
13500,1.81E+01,8.57E+01
13790,1.87E+01,8.72E+01
14090,1.94E+01,8.88E+01
14400,2.01E+01,9.04E+01
14730,2.08E+01,9.21E+01
15070,2.15E+01,9.38E+01
15430,2.23E+01,9.56E+01
15810,2.32E+01,9.75E+01
16200,2.40E+01,9.95E+01
16620,2.50E+01,1.02E+02
17060,2.59E+01,1.04E+02
17520,2.70E+01,1.06E+02
18000,2.81E+01,1.08E+02
18520,2.92E+01,1.10E+02
19060,3.04E+01,1.13E+02
19640,3.17E+01,1.16E+02
20250,3.30E+01,1.18E+02
20910,3.44E+01,1.21E+02
21600,3.59E+01,1.24E+02
22350,3.75E+01,1.27E+02
23150,3.92E+01,1.30E+02
24000,4.09E+01,1.34E+02
24930,4.28E+01,1.38E+02
